trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
859,True,"{'a': 0, 'e': 0}",20,11,15.924410762902163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
860,True,"{'a': 0, 'e': 0}",20,7,29.804246383471405,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,True,"{'a': 0, 'e': 0}",20,12,11.463504159708704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,True,"{'a': 0, 'e': 0}",30,24,10.247289761156722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,True,"{'a': 0, 'e': 0}",20,10,16.7022079135146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,True,"{'a': 0, 'e': 0}",30,22,18.699116909410836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
865,True,"{'a': 0, 'e': 0}",35,25,19.26894350368849,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,True,"{'a': 0, 'e': 0}",30,18,22.369066755122297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
867,True,"{'a': 0, 'e': 0}",30,18,21.320958760317307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,True,"{'a': 0, 'e': 0}",25,18,14.02075410656782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
869,True,"{'a': 0, 'e': 0}",20,16,10.386912786040218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,True,"{'a': 0, 'e': 0}",30,24,12.071479212019987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,True,"{'a': 0, 'e': 0}",30,18,23.96120244361257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
872,True,"{'a': 0, 'e': 0}",25,15,21.434040240919693,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
873,True,"{'a': 0, 'e': 0}",20,6,24.852171462979555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
874,True,"{'a': 0, 'e': 0}",30,22,15.606455612617872,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
875,True,"{'a': 0, 'e': 0}",25,15,22.35708350144737,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,True,"{'a': 0, 'e': 0}",20,14,14.858445153891495,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,True,"{'a': 0, 'e': 0}",25,20,9.875474928450092,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
878,True,"{'a': 0, 'e': 0}",20,16,8.432699447638448,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
879,True,"{'a': 0, 'e': 0}",20,10,21.26005593479818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,True,"{'a': 0, 'e': 0}",25,17,16.189211731974694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
